Product_name,Ratings,Reviews,stars,Current_Price,MRP,Processor,RAM,Storage,Image_URL
MSI Stealth 15M Core i7 11th Gen,24,4,4.3,₹128990,₹162990,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,1 TB SSD,https://rukminim2.flixcart.com/image/312/312/ko7idu80/computer/i/h/u/stealth-15m-a11uek-227in-notebook-msi-original-imag2q57shrhyszs.jpeg?q=70
Lenovo Ideapad Slim3 Core i3 11th Gen,1110,163,4.4,₹51499,₹57290,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim2.flixcart.com/image/312/312/kpvivm80/computer/o/z/d/na-thin-and-light-laptop-lenovo-original-imag4yhhhzdgghca.jpeg?q=70
Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen,33,3,4.4,₹57990,₹69890,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kp2y2kw0/computer/n/n/a/na-thin-and-light-laptop-lenovo-original-imag3dnyeycazpvf.jpeg?q=70
HP 14s Ryzen 5 Hexa Core 5500U,755,68,4.4,₹51900,₹60000,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kgzg8sw0/computer/z/j/j/hp-14s-fr0009au-laptop-original-imafx3rhqwgwzwgy.jpeg?q=70
acer Aspire 7 Core i5 10th Gen,11852,1287,4.4,₹54990,₹89999,Free upgrade to Windows 11 when available,Intel Core i5 Processor (10th Gen),64 bit Windows 10 Operating System,https://rukminim2.flixcart.com/image/312/312/kp1imq80/computer/u/b/z/na-gaming-laptop-acer-original-imag3d63hk3h8nm2.jpeg?q=70
ASUS VivoBook Flip 14 Core i3 11th Gen,0,0,0,₹52990,₹67990,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kykgb680/computer/t/8/f/tp470ea-ec312ws-thin-and-light-laptop-asus-original-imagasyhxfzrgrhz.jpeg?q=70
HP Ryzen 5 Quad Core,0,0,0,₹52380,₹58500,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/l0jwbrk0/computer/j/q/3/15s-laptop-hp-original-imagcbebgsrnvqxg.jpeg?q=70
MSI Modern 15 Ryzen 5 Hexa Core 5500U,1512,221,4.4,₹51990,₹69990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kr9jafk0/computer/l/1/w/modern-15-a5m-thin-and-light-laptop-msi-original-imag53fadjekusnc.jpeg?q=70
MSI GF63 Thin Core i5 10th Gen,1158,142,4.1,₹55490,₹72990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD,https://rukminim2.flixcart.com/image/312/312/ko7idu80/computer/x/l/i/gf63-thin-10scxr-1616in-notebook-msi-original-imag2q55h6w2avfr.jpeg?q=70
DELL Inspiron 3000 Core i5 10th Gen,58,2,4.5,₹54998,₹57217,Intel Core i5 Processor (10th Gen),4 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim2.flixcart.com/image/312/312/k5r2mq80/computer/d/h/n/dell-na-thin-and-light-laptop-original-imafzb2hjz6x7zb7.jpeg?q=70
Vaio E Series Ryzen 7 Quad Core 3700U,144,27,3.7,₹57990,₹76090,AMD Ryzen 7 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kmccosw0/computer/2/r/e/e15-amd-thin-and-light-laptop-vaio-original-imagf9eapgpdwujs.jpeg?q=70
Lenovo B50,78,17,3.8,₹52490,0,Intel Core i5 Processor (4th Gen),8 GB DDR3 RAM,1 TB HDD,https://rukminim2.flixcart.com/image/312/312/computer/t/2/s/lenovo-b50-70-notebook-original-imadxweeqmwvmnwy.jpeg?q=70
MSI GF63 Thin Hexa Core i5 10th Gen,2809,292,4.4,₹61490,₹76990,Intel Hexa Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim2.flixcart.com/image/312/312/ko7idu80/computer/x/l/i/gf63-thin-10scxr-1616in-notebook-msi-original-imag2q55h6w2avfr.jpeg?q=70
HP Core i3 10th Gen,0,0,0,₹53499,₹57948,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/l0jwbrk0/computer/e/k/r/240-g8-laptop-hp-original-imagcbgcgnqwenzx.jpeg?q=70
DELL Inspiron 3511 Core i3 11th Gen,5,0,3.8,₹50999,₹56322,Intel Core i3 Processor (11th Gen),16 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim2.flixcart.com/image/312/312/kz3118w0/computer/4/k/8/inspiron-3511-laptop-dell-original-imagb67swjs6cbgx.jpeg?q=70
HP Pavilion x360 Core i3 11th Gen,1004,109,4.4,₹53990,₹56282,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim2.flixcart.com/image/312/312/kevpwnk0/computer/k/u/3/hp-original-imafvgsb3zhg3g2k.jpeg?q=70
acer Predator Helios 300 Octa Core i7 10th Gen,1377,192,4.5,₹99990,₹149999,Free upgrade to Windows 11 when available,Intel Octa Core i7 Processor (10th Gen),64 bit Windows 10 Operating System,https://rukminim2.flixcart.com/image/312/312/kuvkcy80/computer/x/s/4/na-gaming-laptop-acer-original-imag7whp2f8fgpaz.jpeg?q=70
HP Ryzen 5 Quad Core 3500U,705,74,4.4,₹52990,₹57331,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim2.flixcart.com/image/312/312/k7nnrm80/computer/x/u/u/hp-na-thin-and-light-laptop-original-imafpue5fbugadmu.jpeg?q=70
Lenovo Core i5 8th Gen,0,0,0,₹50100,₹55500,Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM,1 TB HDD,https://rukminim2.flixcart.com/image/312/312/kfwvcsw0/computer/z/u/g/lenovo-v330-thin-and-light-laptop-original-imafw9rdct9ngqna.jpeg?q=70
ASUS Asus Vivobook 15 Core i5 11th Gen,0,0,0,0,0,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/l30hmkw0/computer/w/h/w/vivobook-15-laptop-asus-original-image8ajrucyfea5.jpeg?q=70
Lenovo IdeaPad Gaming Core i7 10th Gen,52,2,4.5,₹68990,₹99290,Intel Core i7 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kp2y2kw0/computer/3/q/k/lenovo-original-imag3eht25nykhjn.jpeg?q=70
ASUS ASUS TUF Gaming A17 Ryzen 7 Octa Core 4800H,97,15,4.5,₹79990,₹106990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kpodocw0/computer/s/h/k/na-gaming-laptop-asus-original-imag3v8ds72qfgwf.jpeg?q=70
acer Aspire 3 Core i3 11th Gen,0,0,0,₹38990,₹55999,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kybvo280/computer/z/i/b/-original-imagah7x7pezegh7.jpeg?q=70
ASUS Celeron Dual Core,16029,2038,3.8,₹24999,₹26504,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/k9d3p8w0/computer/c/a/h/asus-na-laptop-original-imafr6cbfurgkspg.jpeg?q=70
MSI Stealth 15M Core i7 11th Gen,24,4,4.3,₹128990,₹162990,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/ko7idu80/computer/i/h/u/stealth-15m-a11uek-227in-notebook-msi-original-imag2q57shrhyszs.jpeg?q=70
HP Pavilion Ryzen 5 Hexa Core 5600H,5767,635,4.5,₹60990,₹76021,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kbqu4cw0/computer/q/x/r/hp-original-imaftyzachgrav8f.jpeg?q=70
Infinix INBook X1 Core i3 10th Gen,2602,522,4.3,₹29990,₹49999,Intel Core i3 Processor (10th Gen),8 GB LPDDR4X RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kw3v0cw0/computer/j/q/f/inbook-x1-thin-and-light-laptop-infinix-original-imag8vfssyyfzvku.jpeg?q=70
ASUS VivoBook 14 (2021) Celeron Dual Core,7,0,4.3,₹25990,₹33990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70
acer Aspire 7 Core i5 10th Gen,11852,1287,4.4,₹54990,₹89999,Free upgrade to Windows 11 when available,Intel Core i5 Processor (10th Gen),64 bit Windows 10 Operating System,https://rukminim1.flixcart.com/image/312/312/kp1imq80/computer/u/b/z/na-gaming-laptop-acer-original-imag3d63hk3h8nm2.jpeg?q=70
ASUS VivoBook K15 OLED Ryzen 7 Octa Core 5700U,76,11,4.4,₹64990,₹86990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l13whow0/computer/o/s/h/-original-imagcqvpmys2cmg3.jpeg?q=70
ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core 5500U,105,10,4.4,₹58990,₹78990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/l13whow0/computer/o/s/h/-original-imagcqvpmys2cmg3.jpeg?q=70
ASUS VivoBook K15 OLED Ryzen 5 Hexa Core 5500U,85,12,4.7,₹61990,₹80990,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l13whow0/computer/o/s/h/-original-imagcqvpmys2cmg3.jpeg?q=70
MSI GF63 Thin Core i5 10th Gen,1158,142,4.1,₹55490,₹72990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/ko7idu80/computer/x/l/i/gf63-thin-10scxr-1616in-notebook-msi-original-imag2q55h6w2avfr.jpeg?q=70
Lenovo Ideapad Slim 5i Core i5 11th Gen,951,108,4.4,₹61990,₹101390,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/klfhk7k0/computer/w/u/x/na-thin-and-light-laptop-lenovo-original-imagyk4hedcydqx5.jpeg?q=70
ASUS VivoBook Ultra 14 (2022) Core i5 11th Gen,36,4,4.5,₹55990,₹80990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kbfeljk0/computer/x/4/d/asus-original-imafss6cbuzbzpgf.jpeg?q=70
MSI GF65 Thin Core i7 10th Gen,657,82,4.4,₹82990,₹123990,Intel Core i7 Processor (10th Gen),16 GB DDR4 RAM,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/ktszgy80/computer/a/4/a/gf65-thin-10ue-410in-gaming-laptop-msi-original-imag72h6wn7ktgzy.jpeg?q=70
MSI GF63 Thin Hexa Core i5 10th Gen,2809,292,4.4,₹61490,₹76990,Intel Hexa Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/ko7idu80/computer/x/l/i/gf63-thin-10scxr-1616in-notebook-msi-original-imag2q55h6w2avfr.jpeg?q=70
ASUS ROG Strix G15 Ryzen 7 Octa Core 4800H,700,101,4.6,₹83990,₹107990,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/ko382a80/computer/s/3/g/na-gaming-laptop-asus-original-imag2mrvjhrrj3hz.jpeg?q=70
APPLE 2020 Macbook Air M1,7157,668,4.7,₹86990,₹92900,Apple M1 Processor,8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kp5sya80/screen-guard/tempered-glass/o/v/n/apple-macbook-air-m1-13-3-inch-lightwings-original-imag3gh5xftgbpg3.jpeg?q=70
ASUS VivoBook Ultra 14 (2021) Core i5 11th Gen,36,4,4.5,₹55990,₹80990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kbfeljk0/computer/h/a/s/asus-original-imafss69cdydrwr7.jpeg?q=70
acer Predator Helios 300 Octa Core i7 10th Gen,1377,192,4.5,₹99990,₹149999,Free upgrade to Windows 11 when available,Intel Octa Core i7 Processor (10th Gen),64 bit Windows 10 Operating System,https://rukminim1.flixcart.com/image/312/312/kuvkcy80/computer/x/s/4/na-gaming-laptop-acer-original-imag7whp2f8fgpaz.jpeg?q=70
ASUS ASUS TUF Gaming Core i5 11th Gen,437,52,4.5,₹75990,₹116990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/computer/g/z/p/fx506hcb-hn225t-gaming-laptop-asus-original-imag7bhdpzdvtp23.jpeg?q=70
ASUS Pentium Quad Core,4902,682,3.7,₹24999,₹32990,Intel Pentium Quad Core Processor,4 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/k9d3p8w0/computer/c/a/h/asus-na-laptop-original-imafr6cbfurgkspg.jpeg?q=70
acer Nitro 5 Ryzen 5 Hexa Core 4600H,2053,248,4.5,₹60990,₹99999,Free upgrade to Windows 11 when available,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 Operating System,https://rukminim1.flixcart.com/image/312/312/kuvkcy80/computer/n/y/n/na-gaming-laptop-acer-original-imag7whp9urft8mf.jpeg?q=70
Lenovo IdeaPad Gaming Core i7 10th Gen,52,2,4.5,₹68990,₹99290,Intel Core i7 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/3/q/k/lenovo-original-imag3eht25nykhjn.jpeg?q=70
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 5600H,157,20,4.5,₹60990,₹89490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kynb6vk0/computer/k/j/a/-original-imagaufne7h4hgbz.jpeg?q=70
Infinix INBook X1 Core i3 10th Gen,2602,522,4.3,₹29990,₹49999,Intel Core i3 Processor (10th Gen),8 GB LPDDR4X RAM,256 GB SSD,https://rukminim2.flixcart.com/image/312/312/kw3v0cw0/computer/7/f/t/inbook-x1-thin-and-light-laptop-infinix-original-imag8vfsvgu6jqxz.jpeg?q=70
ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core 5500U,658,89,4.4,₹58990,₹78990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim2.flixcart.com/image/312/312/l15bxjk0/computer/8/4/i/-original-imagcsyu53jxgtqe.jpeg?q=70
MSI Stealth 15M Core i7 11th Gen,24,4,4.3,₹128990,₹162990,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,1 TB SSD,https://rukminim2.flixcart.com/image/312/312/ko7idu80/computer/i/h/u/stealth-15m-a11uek-227in-notebook-msi-original-imag2q57shrhyszs.jpeg?q=70
Lenovo Lenovo V Athlon Dual Core 3050U,452,54,3.6,₹28990,₹33000,AMD Athlon Dual Core Processor,4 GB DDR4 RAM,1 TB HDD,https://rukminim2.flixcart.com/image/312/312/kp4difk0/computer/n/l/n/v15-amd-laptop-lenovo-original-imag3fzhzkvchccq.jpeg?q=70
HP OMEN 15 Ryzen 7 Octa Core 5800H,513,68,4.5,₹109990,₹124505,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,1 TB SSD,https://rukminim2.flixcart.com/image/312/312/kzn17680/computer/1/i/z/-original-imagbhzqahdzyx4e.jpeg?q=70
ASUS VivoBook 14 Pentium Silver,121,17,4.2,₹29990,₹38990,Intel Pentium Silver Processor,4 GB DDR4 RAM,256 GB SSD,https://rukminim2.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70
ASUS TUF Gaming F15 Core i5 10th Gen,4155,462,4.5,₹59990,₹81990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/l2hwwi80/computer/i/b/y/-original-imagdtsy32phyfzu.jpeg?q=70
HP Pavilion Core i5 11th Gen,99,8,4.2,₹58450,₹74839,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kyvvtzk0/computer/2/7/l/-original-imagbygbzq27x6sy.jpeg?q=70
APPLE 2020 Macbook Pro M1,675,75,4.7,₹114990,₹122900,Apple M1 Processor,8 GB DDR4 RAM,256 GB SSD,https://rukminim2.flixcart.com/image/312/312/kqjtd3k0/screen-guard/screen-guard/g/s/0/apple-macbook-pro-m1-somtone-original-imag4jhqaxbprrgx.jpeg?q=70
MSI GF63 Thin Core i7 10th Gen,952,106,4.3,₹67490,₹83990,Intel Core i7 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim2.flixcart.com/image/312/312/ko7idu80/computer/x/l/i/gf63-thin-10scxr-1616in-notebook-msi-original-imag2q55h6w2avfr.jpeg?q=70
Lenovo IdeaPad Gaming 3 Core i5 10th Gen,501,43,4.3,₹53990,₹68434,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kp2y2kw0/computer/3/q/k/lenovo-original-imag3eht25nykhjn.jpeg?q=70
acer Nitro 5 Ryzen 7 Octa Core 5800H,355,48,4.4,₹94990,₹119990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim2.flixcart.com/image/312/312/kmns7m80/computer/o/0/x/na-gaming-laptop-acer-original-imagfgq66pufmnny.jpeg?q=70
ASUS ROG Strix G15 Ryzen 9 Octa Core 5900HX,15,3,4.1,₹135990,₹183990,AMD Ryzen 9 Octa Core Processor,16 GB DDR4 RAM,1 TB SSD,https://rukminim2.flixcart.com/image/312/312/koad9jk0/computer/u/r/2/na-gaming-laptop-asus-original-imag2sc5zgzhcsjd.jpeg?q=70
Avita SATUS Celeron Dual Core,30,5,4.4,₹21990,₹29990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,128 GB SSD,https://rukminim2.flixcart.com/image/312/312/l2qhjm80/computer/c/0/9/-original-imageye8rzbh6ft5.jpeg?q=70
DELL G15 Core i7 11th Gen,13,0,4.5,₹108990,₹132438,NVIDIA GEFORCE RTX 3050 Ti,15.6 inches Full HD 2-sided narrow bezel 120Hz 250 Nits,Game shift key for Turbo boost of power,https://rukminim2.flixcart.com/image/312/312/ku5ufm80/computer/o/d/t/na-gaming-laptop-dell-original-imag7chwnuytxb8e.jpeg?q=70
APPLE 2020 Macbook Air M1,7157,668,4.7,₹86990,₹92900,Apple M1 Processor,8 GB DDR4 RAM,256 GB SSD,https://rukminim2.flixcart.com/image/312/312/kruyw7k0/computer/v/x/v/na-thin-and-light-laptop-apple-original-imag5jt7u9fzenqb.jpeg?q=70
DELL Core i5 11th Gen,0,0,0,₹73990,₹96000,NVIDIA RTX 3050 Graphics upto 90W TGP,15.6 inch Full HD AG Display (250 nits Brightness 120Hz Narrow Border),Intel Core i5 Processor (11th Gen),https://rukminim2.flixcart.com/image/312/312/l0zm64w0/computer/e/g/8/g15-5515-gaming-laptop-dell-original-imagcnty69nhzy58.jpeg?q=70
ASUS VivoBook K15 OLED (2021) Core i5 11th Gen,368,55,4.4,₹67990,₹85990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim2.flixcart.com/image/312/312/ktop5e80/computer/f/p/w/km513ua-l503ts-thin-and-light-laptop-asus-original-imag6yt6ftegd5bx.jpeg?q=70
Lenovo IdeaPad Gaming 3 Core i5 11th Gen,84,14,3.8,₹65990,₹93690,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70
